2scratchpad,You links are broken.
2scratchpad,I think it is a well-designed and navigable website
2scratchpad,None
2scratchpad,None
2scratchpad,maybe a little more content but the design is fine
2scratchpad,Thank you for allowing me to participate in your study. It was easy to comprehend and easy to complete the necessary tasks.
2scratchpad,Thank you for the opportunity to complete this HIT!
2conference,Visually the site is great. It just needs to be organized a little better and have more information on the home screen. People should know immediately what the point of the site is and what to do next.
2conference,i didn't have any problems
2conference,None
2conference,"To make the Register here page easier to read, make the blocks of text 7-10 words long, it'll make the information there easier to read."
2conference,This is a great website. It could use some more visual flair to catch the viewers attention. There isn't enough fancy graphics.
2conference,Thank you for allowing me to participate in your study. It was easy to comprehend and easy to complete the necessary tasks.
2conference,enjoyed the survey it was interesting thank you
2andrew,The link of this hit is broken.  I had to type in the URL manually.
2andrew,Thank you for allowing me to participate in your study.
2andrew,None
2andrew,"It's pretty simple and everything is on the home page, it's an easy to use website. Good luck and I hope you have a nice holiday season!"
2andrew,i like this website design and could provide some video clips for better understanding of the simulator how it works.
2andrew,i didn't have any problems
